Institute_name,Region_type,Institute_address,District,Pincode,Web_address,Email_address,Principal_name,Office_contact,personal_contact,Registrar_name,Autonomy_status
"B.K.P.S. College of Architecture, Pune",Urban,"2043, Sadashiv Peth, Tilak Road,  N. E. Puram Chowk, Pune",Pune,411030,www.bkps.edu,arch@bkps.edu,Abhijit Natu,24339055 Ext.- 21,24320599 Ext.- ,Sanjay Suryanarayan Singh,Non-Autonomous
"Government College of Engineering, Karad",Rural,"Vidyanagar, Karad  Dist. Satara",Satara,415124,www.gcekarad.ac.in,principal@gcekarad.ac.in,Dr.  A T Pise,272414 Ext.- 201,272415 Ext.- ,Mr. D. Y. Peraspure,Autonomous
"Department of Management, Solapur University",Urban,"Solapur-Pune National Highway, Solapur  413255",Solapur,413255,su.digitaluniversity.ac,director.scm@sus.ac.in,P G Vhankade,2744774 Ext.- 235,2744774 Ext.- 237,V. B. Ghute,Non-Autonomous
"Mrs. Saraswati Wani College Of D. Pharmacy, At Ganegaon",Rural,"At Ganegaon Po Guha Tal Rahuri Dist Ahmednagar
",Ahmednagar,413706,www.swcop.com,sarsawatiwani.codp@gmail.com,Dattatraya Balasaheb Wani, Ext.- , Ext.- ,Sharad Changdeo Narode,Non-Autonomous
"Matoshri Radha College Of D.Pharmacy, Virgaon",Rural," Virgaon Tal- Akole  Dist- Ahmednagar
",Ahmednagar,422601,www.mrcpvirgaon.education,matoshriradha.codp@gmail.com,Pallavi Laxman Phalke, Ext.- , Ext.- ,Mr. Rahane Anil Ramkrushna ,Non-Autonomous
"Government College of Engineering & Research, Avasari Khurd",Rural,"Avasari, Tal. Ambegaon. Dist. Pune",Pune,412405,www.gcoeara.ac.in,gcoeara@gmail.com,Dr. A.S. Pant,230582 Ext.- ,230582 Ext.- ,"I/c Registrar, Shri. C.A. Suryawanshi",Non-Autonomous
"Rashtrasant  Janardhan Swami College Of Pharmacy, Kokamthan",Rural,"Kokamthan  Tal- Kopargaon District- Ahmednagar
",Ahmednagar,423601,,rajaswa9090@gmail.com,Dr. Nitin Pannalal Jain, Ext.- , Ext.- ,Dr. Nitin Pannalal Jain,Non-Autonomous
"Ashvin College of Pharmacy, Manchi Hill",Rural,"A/p Manchi Hill, Ashvi(Bk), Tal. Sangamner, Dist. Ahmednagar",Ahmednagar,413714,www.acop.co.in,ashvin.cop@gmail.com,Mr. Deshmukh D.B. , Ext.- ,9822741664 Ext.- ,Dr. Lokhande S. B. ,Non-Autonomous
"Jmct Institute Of Pharmacy, Nashik",Urban,"Jmct Campus , Wadala Road, Nashik",Nashik,422006,www.jmctpharmacy.org,jmctpharmacy@gmail.com,Shahzad Ahmed Abdul Razzaque,2978692 Ext.- , Ext.- ,Mohsin Khan,Non-Autonomous
"Government Polytechnic, Awasari (khurd)",Rural,Avasari (Khurd) Tal. Ambegaon Dist Pune 415405,Pune,412405,www.gpawasari.ac.in,gpawasari@gmail.com,Dr.D.R.Nandanwar,230250 Ext.- ,230250 Ext.- ,Smt M M Joshi,Non-Autonomous
Ravindra Vidya Prasarak Mandal,Urban,"Ravindranath Tagore Marg, Dwarka, Nashik ",Nashik,422011,www.rvpmpharmacy.com,ravindranathvidhyalay@gmail.com,Shrikant Madan Gharate,2592048 Ext.- , Ext.- ,Yogesh Pundlik Wagh,Non-Autonomous
Kvn Naik S P Santha's Institute Of Pharmaceutical Education And Research Nashik,Urban,"
Krantiveer   Vasantrao Nashik Naik Marg, Canada Corner,Sharanpur Road,Nashik 422002",Nashik,422002,www.kvnsps.com,nipernashik.kvn@gmail.com,Dr. Avinash Bhaskar Darekar,2315941 Ext.- , Ext.- ,Ganesh B. Kardile,Non-Autonomous
"Sumantai Institute Of Pharmacy, Bamrud(Kh)",Rural,"A/P Bamrud (Khurd),Tal.Pachora,Dist.Jalgaon.(M.S.)",Jalgaon,424201,WWW.potdarfoudationin.org,potdarmalegaon@rediffmail.com,Kishor Sonar, Ext.- , Ext.- ,Dr Rajesh Sonar,Non-Autonomous
"Rashtriya Shikshan Mandal N N Sattha College Of Pharmacy, Ahmednagar",Rural,"Infornt Of Sahakar Sabhagruha, Station Road, Ahmednagar
",Ahmednagar,414001,www.rsmcopharmacy.com,rsmcopharmacy@gmail.com,VISHAL VIJAY PANDE,2425999 Ext.- ,9623443179 Ext.- ,VIKAS BHAUSAHEB GAWALI,Non-Autonomous
"Bankar Patil College Of Pharmacy, Yeola",Rural,"43/2d/1 Yeola Nashik Highway Angangaon
",Nashik,423401,www.ssspm.org,bpcop.yeola@gmail.com,Dr.Jaiprakash Vishnusa Kokane,266970 Ext.- ,266539 Ext.- ,Mr. Roham Pramod Keshav,Non-Autonomous
"P. G. College Of Pharmaceutical Science And Research, Chaupale",Rural,"At. Post. Chaupale, Tal. Dist. Nandurbar
",Nandurbar,425411,www.pharmacy.sgsss.in,pgpharmandb@gmail.com,DR KULDDEEP HEMRAJ RAMTEKE,247400 Ext.- ,247400 Ext.- ,MR HITESHKUMAR SHANTILAL AGRAWAL,Non-Autonomous
"Matoshri Education Society's Matoshri Institute of Pharmacy, Dhanore",Rural,"At Po - Dhanore, Nagar-Manmad Highway, Yeola.",Nashik,423401,www.mipdhanore.com,mipdhanore2018@gmail.com,Prof. Pawan S. Avhad, Ext.- , Ext.- ,Mr. Nilesh Zalte,Non-Autonomous
"Radhikatai Pandav Institute of Architecture, Nagpur",Rural,Nagpur ,Nagpur,440034,www.srpce.ac.in,admin@srpce.ac.in,Pro. Yuvraj Meshram,07103663 Ext.- 660, Ext.- ,Sanjay D. Pandharipande,Non-Autonomous
Dr Uttamrao Mahajan College Of B Pharmacy Chalisgaon,Rural,"Dhule Road,Near Aurangabad Bypass,Bilakhed Shivar,Chalisgaon",Jalgaon,424101,www.dumcob.co.in,dumcopprincipal@gmail.com,Dr. Dheeraj T. Baviskar,222142 Ext.- ,223216 Ext.- ,Tushar Salunkhe,Non-Autonomous
"Shantiniketan Business School, Nagpur",Urban,"survey no 22/3,Kam, Mauja Masala, Near Uppalwadi Industrical Estate, Nagpur 440026",Nagpur,440026,www.sbseducation.org,info@sbseducation.org,Prof. Vivek Katare,9923300964 Ext.- ,6462020 Ext.- ,Ketan Dharkar,Non-Autonomous
"Suryodaya College of Engineering & Technology, Nagpur
",Urban,"Survey No. 117/1 & 117/3 A, Vihirgaon, Nagpur ",Nagpur,441204,www.scetngp.com,scetngp@gmail.com,Dr. Chandrakant S. Ragit,276282 Ext.- 201,276282 Ext.- 201,Mr. Manoj N. Guhe,Non-Autonomous
"Navneet Bahuuddeshya Sanstha, Kinkar Institute Of Technology,Seloo,Dist.Wardha",Rural,"Rehnki Road,Seloo,Dist.Wardha ",Wardha,442104,www.kitseloo.org,principal.kit4612@gmail.com,Mr. Prashant M. Rewatkar,220240 Ext.- 07155,220240 Ext.- 07155,Mr.Dipak.Dhodre,Non-Autonomous
"Laxmi Shikshan Sanstha & Krida Mandal,Samrat Sewakbhau Waghaye Patil Polytechnic College,At Gadegaon, Lakhani, Dist Bhandara",Rural,"N.H. 06, Waghaye College BuildingGate No. 191, At Gadegaon, Lakhani, Dist. Bhandara. ",Bhandara,441804,,vilaswaghaye@rediffmail.com,Vilas Waghaye,246655 Ext.- ,246655 Ext.- ,Mr. Nitin Waghaye,Non-Autonomous
"Govindram Seksaria College of Commerce,Wardha",Urban,"Jamanalal Bajaj Marg, Wardha 442001",Wardha,442001,www.dams.shikshamandal.org,damsgscc2014@gmail.com,Dr. Abdul Bari,230610 Ext.- ,230511 Ext.- ,V.T.WADIBHASME,Non-Autonomous
"Saikrupa Institute Of Pharmacy, Ghargaon, Tal.Shrigonda",Rural,"At. Survey No. 451/1, Mouza Ghargaon, Tah. Shrigonda, Dist. Ahmadnagar
",Ahmednagar,413728,www.saikrupapharmacy.com,dattapansare9@gmail.com,Dr. Umalkar D. G.,272551 Ext.- ,272551 Ext.- ,Mr. Shinde K. B.,Non-Autonomous
"Ballarpur Seva Samiti, Jainuddin Zaweri Polytechnic, Dewai Govindpur, Tukum, Chandrapur ",Urban,"Survey No.62, Rampur Tukum, Mul Dist. Chandrapur",Chandrapur,442401,www.zaweripoly.com,admin@zaweripoly.com,Abhijit R. Roy,276177 Ext.- , Ext.- ,Nishikant Gargelwar,Non-Autonomous
"Shri Vyankatesh Shikshan Sanstha's,Shri Vyankatesh Polytechnic, Yelakeli, Ta- Seloo,Wardha ",Rural,"Survey No. 41 & 37, Yelakeli, Ta- Seloo, Dist-Wardha 442005",Wardha,442005,,rjcoed@rediffmail.com,Mr. P. R. Jachak,202226 Ext.- , Ext.- ,S. B. Raut,Non-Autonomous
"Shri Lalbahaddur Shastri Shikshan Prasarak Mandal, VJ Polytechnic, Mouza  Khamona, Tah- Rajura, Chandrapur ",Urban,"Survey No.71 & 193, Mouza  Khamona, Tah- Rajura, Dist- Chandrapur  442401",Chandrapur,442401,www.vjpoly.com,vjpoly@gmail.com,Mr.SURESH SHANKAR BADAVATH,239111 Ext.- , Ext.- ,Drapan Rathod,Non-Autonomous
"Gramin Vikas Multipurpose Education Society,Prabhat Diploma College of Engineering, Mouza Rui, Ta- Bramhapuri, Chandrapur",Rural,"Gut No. 90, 102, Mouza Rui, Ta- Bramhapuri, Dist-Chandrapur ",Chandrapur,441206,www.gvmes.org.in,prabhatpolytechnic@gmail.com,Mr. R. V. Thakur,230168 Ext.- , Ext.- ,RAKESH V THAKUR,Non-Autonomous
"Maharashtra Institute of Polytechnic, Betala, Bramhapuri,Chandrapur",Rural,"Survey No.402, Betala, Po.Kinhi, Bramhapuri, Dist-Chandrapur   441206",Chandrapur,441206,www.mipoly.edu.in,principal4603@gmail.com,MR. SUYOGKUMAR W BALBUDHE,279086 Ext.- , Ext.- ,MR. RAHUL S. HADGE,Non-Autonomous
"Shri Gurudeo Educational Memorial & Cultural Society, Om Polytechnic College, Mauza Parsodi, Tal-Umrer,Nagpur",Rural,"Survey No. 8, Mauza Parsodi, Tal-Umrer, Dist-Nagpur- 441203",Nagpur,441203,www.ompoly.org,om.polytechnic@rediffmail.com,Dr.P.G.YADAV,244958 Ext.- , Ext.- ,B.G.KUDEGAVE,Non-Autonomous
"Guruvandan Mahila Kalyankari Bahuuddeshiya Mandal's Guru Sai Polytechnic College, Mauza Datala, Chandrapur",Rural," Mauza Datala, Tah & Dist Chandrapur  442401",Chandrapur,442401,www.gspc.edu.in,1452principal@msbte.com,AKSHAT MISHRA,601050 Ext.- , Ext.- ,Sachin I WALDE,Non-Autonomous
"Indian Instiutute of Fire Engineering, Nagpur",Urban,"Makardhokda Katol Road,Near VeerChakra Colony, Nagpur  440013",Nagpur,440013,www.firecollegenagpur.in,fireinstitute96@gmail.com,Shrimati Radha Chimurkar,2574129 Ext.- ,2570733 Ext.- 22,milind chimurkar,Non-Autonomous
"Renaissance Institute Of Management Studies, Datala New Chandrapur",Urban,"Puglia Chambers,Gandhi Chowk, Chandrapur At-Datala New Chandrapur  442401",Chandrapur,442401,www.rims.org.in,info@rims.org.in,Dr. G. F. Surya,230255 Ext.- ,255209 Ext.- ,VIVEK JOGI,Non-Autonomous
"Real Institute Of Management & Research,  Beltarodi, Nagpur",Urban,"Survey No. 30, Beltarodi, Nagpur Tah. & Dist. - Nagpur ",Nagpur,440034,www.realimr.edu.in,realimr@gmail.com,Prof Athar Ali,98609489 Ext.- 07103, Ext.- ,Athar Ali,Non-Autonomous
"G.H.Raisoni Academy of Engineering & Technology, Nagpur",Urban,"Shraddha Park, Off Hingna-Wadi Link Road, Nagpur",Nagpur,440028,www.ghraet.raisoni.net,ghraetnag@raisoni.net,Dr. Vivek Kapur,237688 Ext.- ,237688 Ext.- ,Prashant Awachat,Non-Autonomous
"Cummins College of Engineering For Women, Sukhali (Gupchup), Tal. Hingna Hingna Nagpur",Rural,"Mouje Sukhali (Gupchup), Tal. Hingna  Dist. Nagpur",Nagpur,441110,www.cumminscollege.edu.in,office@cumminscollege.edu.in,Dr. Bharatbhushan Joshi,96576670 Ext.- 30,94230551 Ext.- 60,Mr. Pradeep  Joshi,Non-Autonomous
"Vidyasagar Education Society, Gurukul Polytechnic, Nagra, Gondia",Rural,"Gurukul Polytechnic, Gut No. 78, 80, 81, Balaghat Highwary Road, Nagra, Dist-Gondia  441614",Gondia,441614,www.gurukulpolynagra.com,gurukulpoly@gmail.com,MR NUTAN KHANDELWAL,202083 Ext.- ,202083 Ext.- ,VIKRAM BAIS,Non-Autonomous
"Vidya Niketan Institute of Engineering and Technology, Nagpur",Urban,"At. Post : Gondkheri. Tah.: Kalmeshwar, Dist.: Nagpur",Nagpur,440023,www.vniet.org,principal@vniet.org,Prof. P. T. Petkar,277088 Ext.- ,277088 Ext.- ,Prof. S. D. Ninawe,Non-Autonomous
"Gondia Education Society's Manoharbhai Patel Institute Of Engineering & Technology, Shahapur, Bhandara ",Urban,"N.H.6 Shahapur,Bhandara",Bhandara,441906,www.mietbhandara.ac.in,principalmietb@rediffmail.com,Dr. Ashish Nashine,9975591177 Ext.- ,7709967710 Ext.- ,CHAKRADHAR KAHALKAR,Non-Autonomous
"Jai Mahakali Shikshan Sanstha, Pulgaon Polytechnic,Pulgaon, Tah-Deoli,Wardha ",Rural,"Jawahar Colony, Survey No. 425, Nr. Radhika Lawn, Nachangaon, Post-Pulgaon, Tah-Deoli, Dist-Wardha   442302",Wardha,442302,www.agnihotrigroup.org,PPP1448@rediffmail.com,MR. Pravin A Sapane,07158282 Ext.- 875,07158282 Ext.- 875,Mr. Rahul Chopda (Co-odinator),Non-Autonomous
"ITM College of Engineering, Nagpur",Rural,"Near Madhi Mandir, Ghorpad Road, Kamptee, Dist-Nagpur",Nagpur,441002,www.itmnagpur.ac.in,prasadv@itmnagpur.ac.in,Dr.Hemant Hajare,7109270273 Ext.- ,9881713211 Ext.- ,P.R.Velankar,Non-Autonomous
" V M Institute of Engineering and Technology, Dongargaon, Nagpur",Rural,"Dhutte village , Near Dongargaon, Wardha Road, Nagpur",Nagpur,440010,www.vmit.org.in,vmietnag@gmail.com,Dr. Ankush A. Mankar,6650243 Ext.- 0712,645689 Ext.- 07103,Liladhar Bawane,Non-Autonomous
"Swa. Madhukarrao Deshmukh Education Society,  Shree Sadguru Datta Institute of Pharmacy, Bhajapur",Rural,"Mauza Bhajapur, Kuhi, Dist. Nagpur. ",Nagpur,441202,www.lmdes.org.in,ssdip@rediffmail.com,ANIL G. DHAWADE,220021 Ext.- 07100, Ext.- ,Nitin Madhukarrao Deshmukh,Non-Autonomous
"Bhaubhuti Shikshan Sanstha, Shree Laxmanrao Mankar (Diploma) College Of  Pharmacy, Aamgaon",Urban,"Aamgaon, Dist. Gondia Gondia , 441902",Gondia,441902,,dksanghi@yahoo.co.in,DR. D.K. SANGHI , Ext.- , Ext.- ,,Non-Autonomous
"Shri Sachhidanand Shikshan Santha's Taywade Institute Of Diploma In Pharmacy, Koradi, Kamptee,Dist.Nagpur",Rural,"Koradi, Tal. Kamtee, Dist. Nagpur. ",Nagpur,441111,www.sidpkoradi.com,copkoradi@rediffmail.com,Mr. V.V. CHILATE,202616 Ext.- ,202616 Ext.- ,Mr. Prakash Jagane,Non-Autonomous
"Krushna Sahyogi Tantra Shikshan Sanstha's  Chatrapati Shivaji College Of Pharmacy, Devari, Tal. Devari, Dist.Gondiya",Rural,"Chinchgad Road, Devari Taluka Devari, Dist.  Gondia , 440901",Gondia,441901,www.kstsspharmacy.org,kstsscscp@rediffmail.com,Mr. U.B.Lade,225221 Ext.- ,225221 Ext.- ,kiran v bhipgade,Non-Autonomous
"Maharashtra Shikshan Prasarak Mandals,Sommaya Diploma In Engineering, Wadgaon Dist Chandrapur",Urban,Wadgaon Dist Chandrapur   442402,Chandrapur,442402,www.somayyapolytechnic.com,somayyamspm@gmail.com,Prof.Mohammad Zameer Sheikh,271232 Ext.- ,271252 Ext.- ,Rajesh.P.Bisan,Non-Autonomous
"Young Engineers Education Society's Maharashtra Institute Of Pharmacy, Betada, Bramhapuri, Chandrapur",Rural,"At-Chaughan Phata, Armari Road, (Betala) Po- Kinhi, Tal- Bramhapuri, Chandrapur ",Chandrapur,441206,www.mipharma.edu.in,principalmip@gmail.com,MR. VISHAL KEWALDAS LOKHANDE,279085 Ext.- ,279085 Ext.- ,RAHUL S. HADGE,Non-Autonomous
"Sudam Shikshan Prasarak Mandal's Shree Babasaheb Gharfalkar College Of Pharmacy, Nachangaon, Pulgaon",Rural,"Gadge Nagar,Nachangaon-Pulgaon, Pulgaon, Wardha-442302",Wardha,442302,www.sbgcp.org,sbgcpulgaon@rediffmail.com,Mrs.R.H. Tiple,284766 Ext.- 07158,8308354920 Ext.- ,Hanumantrao kadu,Non-Autonomous
"Mahila Vikas Sanstha's Dr. R.G. Bhoyar Institute Of Pharmacy, Wardha",Rural,"Batchelor Road, Nalawadi, Wardha Dist. Nagpur Wardha , 442001",Wardha,442001,www.rgbip.rgbgi.org,rgbip_pva@rediffmail.com,Mr. Prashant Laxmikant Takdhat,250673 Ext.- , Ext.- ,Mr. Yashpal M. Bhoi,Non-Autonomous
"Shiva Trust, Shivajirao Pawar College of Pharmacy, At-Pachegaon, Tq.Newsa, Ahmednagar",Rural,"At-Pachegaon, Tq.Newsa, Ahmednagar",Ahmednagar,413725,,,, Ext.- , Ext.- ,,Non-Autonomous
RATNADEEP COLLEGE OF PHARMACY(D.PHARM)JAMKHED(RATNAPUR)TAL.JAMKHED DIST.AHMEDNAGAR(MS),Urban,"RATNADEEP HOSPITAL,NAGAR ROAD JAMKHED TAL.JAMKHED DIST.AHMEDNAGAR",Ahmednagar,413201,www.rcpjamkhed.com,rcpjkd@gmail.com,Dr.Nerkar A.G., Ext.- , Ext.- ,Dr More B R,Non-Autonomous
"Vidya Niketan Institute of Pharmacy & Research Center, Bota",Rural,"Vidyanagari, Pune-Nashik Highway, Near Alephata (Pune), A/p - Bota Tal.Sangamner Dist.Ahmednagar ",Ahmednagar,422602,www.vidyaniketanglobal.com/pharmacy,principal.vniprc@gmail.com,Mr. Pachpute Tejas Shivram,7972841651 Ext.- ,9890536677 Ext.- ,SANDIP BHAIK,Non-Autonomous
"K. K. Wagh Institute of Pharmacy, Chandori",Rural,"At Post Chandori, Taluka Niphad, Dist Nashik.",Nashik,422201,www.dpharmacy.kkwagh.edu.in,principal-dpharmacy@kkwagh.edu.in,Prof. Ramesh A. Herole,232982 Ext.- 02550,9764857838 Ext.- ,Mr. Hemant D. Deshpande,Non-Autonomous
"Mahatma Phule Samata Shikshan Sanstha's K.D. Pawar College of Pharmacy, Saoner,Nagpur",Urban,"Angewada K.No.137/1/2,Saoner Dist. Nagpur ",Nagpur,441107,www.kdpawarcollegeofpharmacy.org,kdpcp123@gmail.com,Ms. Kirti A. Bodhankar,234018 Ext.- , Ext.- ,MR. P. V. NERKAR,Non-Autonomous
"Dr. Kolpe Institute of Pharmacy, Kolpewadi",Urban,"At Post Kolpewadi, Tal.Kopargaon, Dist. Ahmednagar",Ahmednagar,423602,www.drkolpepharmacy.in,drkolpepharmacy@gmail.com,Mr. Dr. Prakash Janku Kolpe,261812 Ext.- ,262249 Ext.- ,Mr. Sanjay Nivrutti Kapse,Non-Autonomous
"Shastry Institute of Pharmacy, Erandol",Rural,"Palasdal, Gat No. 4/1, Tal Erandol, Near Anjani Madhyam Prakalpa, Erandol, Dist Jalgaon",Jalgaon,425109,www.sipind.in,sipvms18@gmail.com,Prof. (Dr). Vijay M. Shastry,202010 Ext.- , Ext.- ,Mr. Ajay Shinde,Non-Autonomous
"Shri. Prakashchand Jain College  of Pharmacy & Research, Palaskheda",Rural,"Plot No. 82/1/2, Street No. 185, Palaskheda (Bk), Jamner, Taluka Jamner Dist. Jalgaon",Jalgaon,424206,www.prakashchandjainpharmacyjamner.org/,pjcopharmacy17@gmail.com,Prof. Mayur R. Bhurat, Ext.- , Ext.- ,Mr. Sunil Ramkrushna Baviskar,Non-Autonomous
"RAMESH PHIRODIA COLLEGE OF ARCHITECTURE, Ahmednagar",Rural,105 A GURU GANESH COMPLEX MARKET YARDROAD AHMEDNAGAR - 414001,Ahmednagar,414001,,phirodia@rediffmail.com,Shailesh A. Kshatriya, Ext.- , Ext.- ,Prakash Sonar,Non-Autonomous
"Dharmaraj Shaikshanik Pratishthan's College of Pharmacy, Walki, Ahmednagar",Urban,"Walki, Walki Road, Taluka and District Ahmednagar",Ahmednagar,414006,www.dspbpharm.in,dspbpharm@gmail.com,Vikram Kasar, Ext.- , Ext.- ,Jadhav S.A ,Non-Autonomous
"Vidyavardhan's Institute of Design Environment and Architecture (IDEA), Nashik",Urban,"IDEA Campus, Chandshi, Nashik",Nashik,422003,www.idea.edu.in,ideanashik@gmail.com,Vijay Sohoni,9130055188 Ext.- , Ext.- ,Narendra Tile,Non-Autonomous
"Shram Sadhana Bombay Trust's Institute of Pharmacy, Bambhori, Jalgaon",Urban,"Post Box No 94, NH-06, Bambhori, Taluka  Dharangaon Dist.Jalgaon",Jalgaon,425001,www.ssipjalgaon.org,ssipjal@gmail.com,Dr. Landge Amol Dagdu,2258390 Ext.- ,2258392 Ext.- ,Mr. Y. K. Chitte,Non-Autonomous
"Arihant College of Pharmacy, Kedgaon",Urban,"Survey No.345/5, Sonewadi Road, Dist. Ahmedagar",Ahmednagar,414005,www.raysanr.org,arihantpharmacynagar@gmail.com,Mr.Harish  Rajkumar Lunkad ,0241 Ext.- 123,0241 Ext.- 1,Mr. Yogesh S Bafana,Non-Autonomous
"Shantiniketan College of Pharmacy, Ahmednagar",Rural,"Gut No.525, A/P Dhotre (BK), Dist. Ahmednagar",Ahmednagar,414304,www.shantiniketancollegeofpharmacy.com,shantiniketancop@gmail.com,Mrs.Shinde Manisha Tanaji,0241 Ext.- ,2323911 Ext.- ,Nilesh Shinde,Non-Autonomous
"SHRI GULABRAO DEOKAR COLLEGE OF PHARMACY,SHIRSOLY ROAD, JALGAON",Urban," GAT NO.26/2, SHIRSOLY ROAD JALGAON",Jalgaon,425002,,sgdcop@gmail.com,Dr.Yogesh D.Pawar,9373444045 Ext.- ,9373444045 Ext.- ,Mr.Rahul D.Patil,Non-Autonomous
"Rupesh Badhan Institute of Pharmacy, Pimpalner",Urban,"Satana Road, Pimpalner, Taluka Sakri, District Dhule.",Dhule,424306,www.shantai.edu.com,rbipharmacy@gmail.com,Mr. Shirish Ramchandra Chaudhari, Ext.- , Ext.- ,Mr. RUPESH D BADHAN,Non-Autonomous
"Jijamata Shikshan Prasarak Mandal's Kamlatai College of Architecture, Ahmednagar",Rural,Ahmednagar,Ahmednagar,414201,www.jspmcoanagar.org,kolheamol10@gmail.com,Amol kolhe,2660016 Ext.- 0241,8983533363 Ext.- ,Amol kolhe,Non-Autonomous
"Dr. N.J. Paulbudhe College of Pharmacy, Ahmednagar",Urban,"45/1B, Shaneshwar Nagar, Vasant Tekdi, Savedi, Ahmednagar",Ahmednagar,414003,SSPMONLINE.ORG,bpharmacydnjp@gmail.com,DR. KHANAGE SHANTARAM GAJANAN,2421154 Ext.- ,2421111 Ext.- ,karampuri raghunath sidram,Non-Autonomous
"Sanmarg Shikshan Sanstha's K.R.Pandav Institute Of Pharmacy, Nagpur",Rural,"Dighori Nakyajaval Umred Road, Nagpur Nagpur , 411204",Nagpur,411204,skrpcp.org,pandavdpharm@gmail.com,Mr. Amit N. Ingle,9607920503 Ext.- 91,8600031609 Ext.- 91,Mrs. Shital P. Sayre,Non-Autonomous
"K. K. Wagh College of Pharmacy, Nashik",Urban,"Hirabai Haridas Vidyanagari, Amrut Dham, Panchavati, Nashik",Nashik,422003,pharmacy.kkwagh.edu.in,principal-bpharmacy@kkwagh.edu.in,Dr. Kishor Jain,2629251 Ext.- , Ext.- ,Mr. R. B. Tiwari,Non-Autonomous
"Shri Vile Parle Kelavani Mandal's Institute of Pharmacy, Dhule",Urban,"Survey No. 499/1, Plot No.3, Behind Gurudwara, Mumbai Agra Highway, Dhule",Dhule,424001,www.svkm-iop.ac.in,IOPDhule@svkm.ac.in,Dr. Sameer N. Goyal,2562297802 Ext.- ,2562297805 Ext.- ,Mr. Anmol Suryavanshi,Non-Autonomous
"Karmaveer Bhausaheb Hiray Institute of Management & Research, Malegaon",Urban,"Loknete Vyankatrao Hiray Marg, Malegaon Camp, Malegaon, Dist. Nashik.",Nashik,423205,www.mgv.org.in/imrmalegaon,kbhimr@gmail.com,Dr.Prashant Balasaheb Suryavanshi,256954 Ext.- ,7588615738 Ext.- ,Mr.Nikam Bhushan,Non-Autonomous
"MET's School of Architecture & Interior Design, Govardhan, Nashik",Rural,At post Govardhan Taluka & District Nashik,Nashik,422222,www.metbhujbalknowledgecity.ac.in,registrar_ioe@bkc.met.edu,Bhalchandra Chaware,2200300 Ext.- 0253,6012044 Ext.- ,Suhas Khairnar,Non-Autonomous
"AJMVP's HKCCSM Institute of Management Research & Rural Development, Ahmednagar",Urban,"New Arts College Campus, Lal Taki Road, Ahmednagar",Ahmednagar,414001,www.imrrd.com,imrrdanr@gmail.com,Dr. Jain D. P.,2324898 Ext.- , Ext.- ,Pawar B. B.,Non-Autonomous
"Divine College of Pharmacy, Satana",Urban,"Nampur Road, Satatna, Taluka Satana, Dist Nashik.",Nashik,423301,shrishakti.org.in,divinecop15@gmail.com,Dr. Rajendra Nathu Bhadane,226009 Ext.- , Ext.- ,Mr. Kundan Sapkale,Non-Autonomous
"MET's Institute of D. Pharmacy, Adgaon, Nashik",Urban,"1071, Bhujbal Knowledge City, Adgaion, Nashik, Dist. Nashik",Nashik,422003,www.metbhujbalknowledgecity.ac.in,1798principal@msbte.com,Dr. Mohammad Rizwan Niyazuddin Shaikh,2555966 Ext.- 966,2555966 Ext.- 966,Suhas L. Khairnar,Non-Autonomous
"Sir Dr. M.S. Gosavi Instititute of Business Studies, Nashik",Urban,"Prin. T. A. Kulkarni Vidyanagar College Road, Nashik",Nashik,422005,www.sdmsgibs.org.in,sdmsgibs@gmail.com,Dr. Mrs. Smita Kachole,2360392 Ext.- ,2360392 Ext.- ,Mr. Sagar Deshmane,Non-Autonomous
"Shaineshwar Shikshan Prasarak Mandal's College of D. Pharmacy, Laling, Dhule",Urban,At Post Laling Taluka & Dist.Dhule,Dhule,424006,www.sspmpharmacydhule.com,1815principal@msbte.com,Praneta Ravindra Desale, Ext.- , Ext.- ,Jambhale Nagesh Haribhau,Non-Autonomous
"N D Kasar College of Pharmacy, Walki, Ahmednagar",Rural,A/P Walki Tal & Dist. Ahmednagar,Ahmednagar,414006,www.ndkasarcop.in,dspcollegeofpharmacy@gmail.com,kothule Manoj Bhivsen,9850111150 Ext.- ,9422450622 Ext.- ,S.A.Jadhav,Non-Autonomous
"Matoshri Miratai Aher College of Pharmacy, Karjule Harya Taluka Parner",Rural,"Vittahal Nagar, Kokate Vasti, Karjure Harya, Taluka, Parner, Dist Ahmednagar",Ahmednagar,414304,www.mmacop.org,matoshri201415@gmail.com,Dr. Sanjay Jayshriramji Ingale,8805838462 Ext.- ,8652311396 Ext.- ,Mr.Bhaik Subhash Kundlik,Non-Autonomous
"Trimurti Institute of Pharmacy,  Paldhi (BK), Jalgaon",Rural,"Survey No. 225/226, Paldhi BK, Tal.Dharangaon, Near North Maharashtra University,  Dist. Jalgaon",Jalgaon,425103,www.trimurtipharmacy.org,manojpatil9737@gmail.com,MANOJ P. PATIL,202292 Ext.- , Ext.- ,JUGAL PATIL,Non-Autonomous
"Backward Class Youth Relief Committee's Institute of D. Pharmacy, Nagpur",Urban," Nandanvan, Great Nag Road, Jagnade Chowk,  Nagpur , 440009",Nagpur,440009,www.bcyrcpharmacy.org,principal_denge@yahoo.co.in,Mr.D.S.Denge,2715443 Ext.- , Ext.- ,Mr. Bhushan B. Pahune,Non-Autonomous
